Real Value \ Predicted Value,0,1,2,3,4,5,6,7,8,9
0,19, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
1,0, 19, 0, 0, 0, 0, 0, 0, 1, 0, 
2,0, 0, 16, 1, 1, 0, 1, 0, 1, 0, 
3,0, 0, 1, 18, 0, 0, 0, 0, 1, 0, 
4,0, 0, 0, 0, 16, 1, 0, 0, 1, 2, 
5,0, 0, 2, 0, 0, 17, 0, 0, 1, 0, 
6,0, 0, 0, 0, 0, 0, 19, 0, 1, 0, 
7,0, 0, 0, 0, 1, 0, 0, 17, 0, 2, 
8,0, 0, 0, 0, 0, 0, 0, 0, 19, 1, 
9,0, 0, 1, 0, 0, 0, 0, 3, 1, 15, 
