Real Value \ Predicted Value,0,1,2,3,4,5,6,7,8,9
0,18, 0, 0, 0, 0, 0, 1, 0, 1, 0, 
1,0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 
2,0, 0, 16, 0, 0, 1, 1, 0, 1, 1, 
3,0, 0, 0, 17, 0, 1, 0, 0, 2, 0, 
4,0, 0, 0, 0, 12, 0, 3, 0, 1, 4, 
5,0, 0, 0, 0, 2, 14, 0, 0, 3, 1, 
6,0, 0, 0, 0, 0, 0, 19, 0, 1, 0, 
7,0, 0, 0, 0, 3, 0, 0, 12, 0, 5, 
8,1, 0, 0, 0, 0, 0, 0, 0, 18, 1, 
9,1, 0, 0, 1, 3, 0, 0, 1, 1, 13, 
